img_IDs,target
ID_07VWE8S4AH,0.008127453
ID_1TTSQF7HN0,0.48595753
ID_21WVBU9ZMU,0.31383297
ID_2MHAFTL1KN,0.979786
ID_37ULEGW12M,0.9999883
ID_8REUNTV3UL,0.9999289
ID_8YJA423CAB,0.9982294
ID_9HM1CMMDEI,0.40246835
ID_9NAGF1CGWB,1.0
ID_9PHABIBP5K,0.008178057
ID_9V8TIM2MWW,1.0
ID_ABGMXQ5WAR,0.99981064
ID_AVGACN449M,1.0
ID_BZVV0I5WQ2,0.99957764
ID_C3ZVCD507F,1.0
ID_E4P12L3PFD,0.0013002978
ID_ENKKT0T715,0.9870891
ID_IB39OC1LAA,1.0
ID_JSCIHWHDZN,8.1902064e-05
ID_JXE4A2P3N9,0.033412427
ID_K9W6QXI5VZ,1.0
ID_LQT5C7SEE0,0.0021716394
ID_LTZXAY8SN2,0.003117958
ID_MKCKMEBAS7,1.0
ID_OII2Q7G3QF,0.99999875
ID_R9GW41JDV9,0.9999998
ID_RXL34WKFNH,5.8058984e-05
ID_S6G2CLC1SN,0.010611832
ID_TIXIH7FZZJ,0.027952101
ID_VFNLIKUKPI,0.9830425
ID_W12UPWBDDO,0.9793686
ID_XDAH5643R4,0.99292445
ID_Z89CXM5VN7,0.99992186
ID_ZRM2IWUZA0,0.96619576
